Respondent ID,Age,Residency type,Residency name,Occupation,Reading,Cooking,Wachting sports on tv,Travel,Health & Fitness,Size,Rugged Delicate,Exitable Calm,Uncomfortable Comfortable,Dominating Submissive,Thrifty Indulgent,Pleasant Unpleasant,Contemporary Uncontemporary,Organized Unorganized,Rational Emotional,Youthful Mature,Formal Informal,Orthodox Liberal,Complex Simple,Colorful Colorless,Modest Vain
13264663777,25,Village,Oisterwijk,Work,4,1,2,3,5,38.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0
13263750995,23,City,Breda,Student,5,3,4,2,1,36.0,1.0,2.0,5.0,3.0,6.0,1.0,0.0,6.0,2.0,2.0,6.0,6.0,3.0,1.0,5.0
13263613156,30,"Village, City",Amsterdam,Student,1,2,3,5,4,38.0,5.0,5.0,6.0,7.0,1.0,1.0,7.0,0.0,6.0,3.0,5.0,0.0,6.0,1.0,0.0
13249068738,22,Village,"Dongen, NL",Student,3,1,5,2,4,36.0,5.0,4.0,2.0,4.0,6.0,2.0,2.0,3.0,6.0,5.0,4.0,5.0,4.0,5.0,3.0
13244840492,22,City,Breda,Student,1,3,2,4,5,38.0,2.0,2.0,7.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,2.0,6.0,3.0
13244520859,28,City,Almere,Work,4,2,5,1,3,40.0,3.0,1.0,7.0,4.0,3.0,0.0,4.0,0.0,5.0,3.0,6.0,4.0,4.0,7.0,1.0
13241149237,22,City,Amsterdam ,Student,1,3,2,5,4,36.0,,,,,,,,,,,,,,,
13240718620,23,City,Tilburg,Student,4,1,5,2,3,38.0,2.0,2.0,4.0,3.0,6.0,3.0,3.0,4.0,4.0,3.0,6.0,5.0,4.0,6.0,4.0
13240463751,26,City,Almere,Work,2,3,5,4,1,38.0,5.0,5.0,7.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,6.0,2.0,4.0,3.0
13240304890,25,City,Breda,Student,3,1,5,4,2,36.0,,,,,,,,,,,,,,,
13240301382,25,City,Breda,Student,3,1,5,4,2,36.0,,,,,,,,,,,,,,,
13239966016,23,City,Utrecht,Student,3,2,4,1,5,34.0,5.0,2.0,5.0,6.0,4.0,1.0,0.0,0.0,6.0,3.0,6.0,5.0,4.0,6.0,6.0
13239867945,21,Village,Ulvenhout,Student,4,3,5,1,2,38.0,5.0,2.0,1.0,6.0,6.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0
13239806794,22,"Village, City",Utrecht,Student,5,2,3,1,4,40.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,4.0,4.0
13239762236,23,City,Utrecht,Student,4,1,2,3,5,36.0,3.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0
13239741363,23,"Village, City","Dongen, Utrecht",Student,5,3,2,1,4,34.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,0.0,2.0,4.0,6.0,5.0,4.0,4.0,3.0
13239746222,24,City,Rotterdam,Work,4,1,5,3,2,34.0,,,,,,,,,,,,,,,
13239743538,22,City,Utrecht,Student,5,1,3,2,4,34.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0
13238520630,23,"Village, City","Breda, Dongen",Student,2,3,5,1,4,38.0,3.0,6.0,4.0,6.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,2.0
13238479027,23,Village,Rijen,Work,4,2,5,3,1,36.0,5.0,3.0,7.0,3.0,2.0,7.0,2.0,0.0,4.0,7.0,7.0,4.0,2.0,3.0,1.0
13238452713,21,Village,Sint Willebrord ,Work,3,2,5,4,1,38.0,4.0,3.0,5.0,6.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0
13238271643,25,City,Arnhem ,Work,2,3,1,5,4,36.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
13238048893,21,Village,Sint Willebrord ,Work,5,3,2,4,1,38.0,,,,,,,,,,,,,,,
13237855975,23,City,amsterdam,Work,4,3,5,1,2,38.0,2.0,0.0,5.0,1.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0
13237402846,25,City,Breda,Student,2,3,5,1,4,38.0,4.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0
13237380689,21,City,Breda,Student,5,2,4,3,1,40.0,2.0,3.0,5.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0
13237315738,23,City,Breda,Work,5,3,4,1,2,34.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,6.0,5.0,4.0,3.0
13264685797,23,City,Amsterdam,Student,5,4,3,1,2,36.0,2.0,2.0,6.0,3.0,6.0,3.0,1.0,4.0,5.0,1.0,6.0,6.0,4.0,6.0,5.0
13263637869,25,Village,Oost zaan,Work,5,3,4,1,2,34.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,4.0,6.0,2.0,3.0,7.0,3.0,7.0,6.0
13263558029,20,Village,Oisterwijk,Work,4,3,5,2,1,36.0,3.0,2.0,5.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0
13246534584,19,Village,Dongen,Student,5,3,4,1,2,34.0,5.0,4.0,3.0,4.0,5.0,3.0,0.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0
13245211614,19,Village,Dongen,Student,5,3,4,2,1,40.0,,,,,,,,,,,,,,,
13243254947,22,Village,Princehage ,Student,1,2,5,3,4,36.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,6.0,5.0,3.0,5.0,7.0,4.0,5.0,3.0
13240050877,27,City,Breda,Work,1,4,5,2,3,36.0,2.0,2.0,6.0,2.0,4.0,2.0,1.0,3.0,5.0,3.0,6.0,5.0,3.0,7.0,3.0
13238590958,26,City,Tilburg ,Work,4,3,5,1,2,36.0,2.0,1.0,6.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,6.0,7.0,3.0,6.0,4.0
13238520834,23,City,Breda,Student,3,1,5,4,2,40.0,3.0,3.0,5.0,2.0,5.0,1.0,1.0,3.0,4.0,2.0,5.0,6.0,3.0,3.0,3.0
13238542142,24,City,Amsterdam,Work,2,5,1,4,3,36.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0
13238184908,26,Village,Rijen,Work,4,1,2,5,3,38.0,2.0,2.0,3.0,1.0,4.0,7.0,3.0,7.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0
13238066179,26,City,Tilburg,Work,3,2,5,1,4,38.0,2.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,6.0,6.0,5.0,6.0,5.0,6.0
13237686574,25,City,Amsterdam,Work,2,4,5,1,3,38.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,6.0,7.0,2.0,4.0,1.0
13237449180,27,Village,Dongen,Work,5,2,4,1,3,36.0,2.0,5.0,3.0,3.0,4.0,1.0,0.0,1.0,3.0,2.0,5.0,7.0,1.0,6.0,2.0
13237381960,26,City,Den Bosch,Work,5,4,3,1,2,36.0,5.0,6.0,7.0,6.0,1.0,0.0,0.0,6.0,0.0,4.0,6.0,7.0,4.0,5.0,2.0
13237386087,25,City,Tilburg,Work,3,4,5,1,2,38.0,2.0,0.0,6.0,2.0,5.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0
13237373974,26,Village,Dongen,Student,2,3,5,1,4,36.0,3.0,4.0,6.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,6.0,3.0,5.0,3.0
13237349458,26,Village,Dongen,Work,2,4,3,1,5,38.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,7.0,5.0,6.0,4.0,4.0
13237319909,23,City,Breda,Student,5,2,4,1,3,36.0,3.0,3.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,6.0,6.0,4.0,1.0
13264640408,22,City,Breda,Student,3,5,1,4,2,38.0,6.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0
13263584801,26,City,Breda,Work,2,1,5,4,3,38.0,4.0,5.0,3.0,5.0,2.0,1.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0
13249047153,25,City,The Hague ,Work,3,4,5,1,2,38.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,1.0,5.0,4.0,2.0,6.0,4.0,4.0,3.0
13245222921,21,Village,Dongen,Student,1,4,3,5,2,36.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,4.0,7.0,4.0,4.0,4.0,4.0,5.0,1.0
13242105575,23,City,Breda,Work,2,4,5,1,3,38.0,4.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,5.0,5.0,1.0
13240917054,24,City,Breda,Work,5,1,2,4,3,36.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,2.0,5.0
13239673038,23,City,Breda,Work,5,3,4,1,2,34.0,2.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,6.0,7.0,6.0,7.0,3.0
13239152356,23,"Village, City",Tilburg en Berkel-Enschot,Student,1,3,2,4,5,38.0,2.0,6.0,5.0,4.0,5.0,2.0,2.0,0.0,5.0,3.0,6.0,7.0,5.0,0.0,4.0
13238786009,20,City,Amsterdam ,Student,5,3,2,4,1,36.0,2.0,3.0,4.0,3.0,0.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0
13238873456,20,City,Breda,Student,1,4,5,2,3,36.0,3.0,2.0,6.0,5.0,5.0,0.0,1.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,0.0
13238642415,24,City,Tilburg ,Work,4,1,5,3,2,42.0,2.0,3.0,5.0,3.0,7.0,1.0,1.0,1.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0
13238600642,23,Village,Oisterwijk ,Work,4,3,5,2,1,36.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,6.0,4.0,5.0,2.0
13238615119,23,Village,Dongen,Student,4,2,1,5,3,34.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,7.0,5.0,5.0,3.0,4.0
13238620869,24,City,Tilburg,Student,1,3,2,5,4,34.0,3.0,5.0,7.0,3.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,7.0,5.0,5.0,3.0
13238462788,23,City,Nijmegen,Work,2,3,1,4,5,34.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,2.0,2.0,5.0,5.0,7.0,4.0,5.0,2.0
13238219369,23,"Village, City",Amsterdam ,Student,4,2,3,1,5,38.0,4.0,1.0,5.0,1.0,2.0,4.0,4.0,7.0,2.0,4.0,3.0,5.0,1.0,3.0,3.0
13237370495,21,City,Breda,Work,4,3,5,1,2,36.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0
13237575480,21,City,Bergen op zoom,Student,1,3,2,5,4,34.0,2.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,3.0
13237562564,21,City,Bergen op Zoom,Work,5,4,2,1,3,,3.0,2.0,5.0,3.0,5.0,1.0,1.0,4.0,2.0,5.0,5.0,6.0,5.0,4.0,3.0
13237317993,22,Village,Oisterwijk,Student,5,1,4,2,3,38.0,3.0,4.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,7.0,6.0,7.0,6.0,7.0,1.0
13263660860,23,Village,Dongen,Student,5,3,4,1,2,38.0,5.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,6.0,5.0,3.0,5.0,3.0
13263513849,25,City,Rotterdam,Student,4,2,5,1,3,40.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,6.0,6.0,2.0,6.0,5.0
13249117061,25,Village,Dongen,Work,2,3,5,1,4,38.0,5.0,6.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0
13245953467,21,Village,Dongen,Student,4,5,1,3,2,38.0,,,,,,,,,,,,,,,
13239748413,30,City,Tilburg,Work,4,1,5,3,2,40.0,4.0,6.0,3.0,6.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0
13239710119,30,City,Tilburg,Work,5,2,1,3,4,38.0,3.0,5.0,6.0,4.0,5.0,1.0,2.0,0.0,2.0,4.0,6.0,5.0,4.0,4.0,1.0
13239676771,30,City,Tilburg,Work,5,2,1,3,4,38.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0,5.0,6.0,5.0,5.0,3.0,1.0
13237754403,22,City,Breda,Work,3,5,4,1,2,36.0,4.0,3.0,6.0,4.0,4.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0
13237808350,23,Village,Dongen,Work,3,4,5,2,1,38.0,3.0,3.0,5.0,1.0,6.0,1.0,2.0,3.0,4.0,3.0,2.0,5.0,6.0,5.0,4.0
13237797264,23,Village,Dongen,Student,5,2,3,1,4,36.0,3.0,5.0,7.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,2.0
13237763648,26,City,Utrecht,Work,5,4,2,3,1,38.0,0.0,3.0,3.0,1.0,0.0,3.0,5.0,2.0,2.0,4.0,5.0,6.0,3.0,3.0,3.0
13237765133,24,City,Utrecht,Student,2,4,5,1,3,38.0,3.0,1.0,5.0,3.0,6.0,3.0,2.0,6.0,5.0,6.0,6.0,7.0,7.0,1.0,1.0
13237751174,21,City,Utrecht,Student,4,5,3,1,2,34.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,2.0,5.0,6.0,5.0,5.0,1.0
13237465898,23,City,Utrecht,Work,2,3,5,1,4,36.0,2.0,2.0,6.0,3.0,2.0,1.0,2.0,0.0,2.0,4.0,5.0,6.0,4.0,5.0,1.0
13237529736,24,"Village, City",Utrecht,Student,5,1,2,3,4,36.0,4.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,4.0,5.0,3.0,1.0
13237464563,23,City,Utrecht,Work,3,2,5,1,4,,,,,,,,,,,,,,,,
13237445953,24,City,Amsterdam,Student,1,2,5,3,4,40.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,0.0,2.0,5.0,4.0,4.0,0.0,3.0,3.0
13237375572,21,City,Rotterdam,Student,3,1,5,2,4,42.0,5.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0
13237356060,23,"Village, City",Rotterdam,Student,2,1,5,4,3,40.0,5.0,6.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,6.0,1.0
